Nama,Kategori,Jumlah Porsi,Takaran Porsi,Kalori (kal),Lemak (g),Lemak Jenuh (g),Lemak Tak Jenuh Ganda (g),Lemak Tak Jenuh Tunggal (g),Kolestrol (g),Protein (g),Karbohidrat (g),Serat (g),Gula (g),Sodium (g),Kalium (g)
"Kacang Merah (tanpa Garam, Dimasak, Direbus)",Kacang Kacangan,1.0,gram (g),0.1899696048632219,0.0075945443273403605,0.0012583452759621096,0.022596548890714874,0.0025778306563553443,0.0,0.2425174825174825,0.2768334142787761,0.07710843373493977,0.004923076923076923,0.0005299417064122947,0.23222477064220184
Kacang Panggang Vegetarian,Kacang Kacangan,1.0,gram (g),0.1398176291793313,0.005579665220086795,0.001537977559509245,0.010928512736236648,0.005486152422499836,0.0,0.13286713286713286,0.2566779990286547,0.04939759036144578,0.13907692307692307,0.1785903550609433,0.12442660550458716
Kacang Panggang Boston,Kacang Kacangan,1.0,gram (g),0.23252279635258358,0.07827030378177309,0.03131881575727918,0.05513557929334429,0.15367836605195323,0.0125,0.16895104895104895,0.2676056338028169,0.046987951807228916,0.09846153846153848,0.24059353471118178,0.2419724770642202
Tahu Goreng,Kacang Kacangan,0.0,buah,0.05015197568389058,0.04045257284562927,0.006623789716522772,0.1216926869350863,0.03827087051358319,0.0,0.06237762237762238,0.01651287032540068,0.006024096385542169,0.005384615384615384,0.0010598834128245894,0.010894495412844037
Keju Colby Jack,Susu,0.0,iris (28 g),0.16261398176291794,0.1370117792932424,0.09732951169212484,0.02161051766639277,0.1689470553242118,0.065,0.19132867132867132,0.0055852355512384655,0.0,0.002153846153846154,0.08585055643879173,0.016628440366972478
Keju Amerika,Susu,0.0,iris (28 g),0.14285714285714285,0.1143831370117793,0.07719598727673109,0.025472473294987676,0.13979773944080906,0.0575,0.15020979020979022,0.023919378338999514,0.0,0.028153846153846158,0.19501854795972445,0.04415137614678899
Keju Cheddar atau Colby Rendah Lemak,Susu,0.0,iris (28 g),0.07142857142857142,0.03053316800991941,0.021514208815407738,0.0051766639276910435,0.03899795095511931,0.015,0.193006993006993,0.00655658086449733,0.0,0.002307692307692308,0.09220985691573927,0.010894495412844037
Keju Provolone,Susu,0.0,iris (28 g),0.1458966565349544,0.11531308121512711,0.08357509874515012,0.017666392769104356,0.13682331945270673,0.0475,0.2002797202797203,0.007285089849441476,0.0,0.0024615384615384616,0.12983571807101218,0.02236238532110092
Keju Parmesan (Parut),Susu,0.0,sdm,0.0303951367781155,0.022008679479231248,0.015117620329267011,0.004847986852917009,0.02769515500033049,0.01,0.053706293706293706,0.002428363283147159,0.0,0.0006153846153846154,0.040275569687334395,0.0034403669724770644
Keju Parmesan Parut Kering,Susu,0.0,sdm,0.0303951367781155,0.022008679479231248,0.015117620329267011,0.004847986852917009,0.02769515500033049,0.01,0.053706293706293706,0.002428363283147159,0.0,0.0006153846153846154,0.040275569687334395,0.0034403669724770644
